Ticker,Company,Price,P/E Ratio
FFIV,"F5, Inc.",381.215,31.272766
IEX,IDEX Corporation,211.75,31.323963
PSA,Public Storage,304.46,31.452478
DXCM,"DexCom, Inc.",73.31,31.46352
WMB,"The Williams Companies, Inc.",71.78,31.482456
AMCR,Amcor plc,39.11,31.540323
CVX,Chevron Corporation,182.33,31.709566
VRSN,"VeriSign, Inc.",287.44,31.726269
TDY,Teledyne Technologies Incorporated,625.88,31.738338
CHD,"Church & Dwight Co., Inc.",96.79,31.838816
ROST,"Ross Stores, Inc.",231.0,32.26257
VEEV,Veeva Systems Inc.,175.805,32.317093
EXR,Extra Space Storage Inc.,144.23,32.411236
MSI,"Motorola Solutions, Inc.",403.905,32.599274
BG,Bunge Global SA,124.0,32.63158
SWK,"Stanley Black & Decker, Inc.",79.69,32.659836
HUM,Humana Inc.,306.94,32.722813
KKR,KKR & Co. Inc.,96.25,32.738094
AJG,Arthur J. Gallagher & Co.,202.65,32.791264
SWKS,"Skyworks Solutions, Inc.",78.98,32.908333
MCO,Moody's Corporation,458.54,32.941093
LIN,Linde plc,496.52,32.969456
ABNB,"Airbnb, Inc.",133.75,33.02469
EMR,Emerson Electric Co.,143.37,33.187496
NWSA,News Corporation,26.22,33.189873
NVDA,NVIDIA Corporation,216.8301,33.20522
PODD,Insulet Corporation,142.385,33.345432
GWW,"W.W. Grainger, Inc.",1239.5325,33.34766
RTX,RTX Corporation,178.495,33.488743
CMI,Cummins Inc.,647.07,33.596573
MRK,"Merck & Co., Inc.",119.38,33.62817
VMC,Vulcan Materials Company,285.04,33.772514
LHX,"L3Harris Technologies, Inc.",313.165,33.965836
AME,"AMETEK, Inc.",226.52,34.165913
FTV,Fortive Corporation,58.775,34.57353
TT,Trane Technologies plc,451.94,34.578426
FCX,Freeport-McMoRan Inc.,65.41,34.608467
CL,Colgate-Palmolive Company,90.76,35.178295
DHR,Danaher Corporation,183.37,35.468082
J,Jacobs Solutions Inc.,120.52,35.55162
SYK,Stryker Corporation,307.715,35.61516
PLD,"Prologis, Inc.",142.45,35.79146
ADM,Archer-Daniels-Midland Company,80.37,35.879467
CHRW,"C.H. Robinson Worldwide, Inc.",178.185,35.99697
HSY,The Hershey Company,194.92,36.230484
CTAS,Cintas Corporation,172.32,36.354435
MSCI,MSCI Inc.,635.6299,36.363266
MLM,"Martin Marietta Materials, Inc.",585.975,36.784367
WAB,Westinghouse Air Brake Technologies Corporation,260.76,36.83051
IBKR,"Interactive Brokers Group, Inc.",86.415,37.087986
AAPL,Apple Inc.,310.275,37.60909
HON,Honeywell International Inc.,236.5381,37.725376
NWS,News Corporation,29.925,37.879745
CCI,Crown Castle Inc.,91.6388,38.666164
LLY,Eli Lilly and Company,1092.33,38.776356
ETN,Eaton Corporation plc,399.14,39.09305
MAR,"Marriott International, Inc.",375.6,39.248695
MAA,"Mid-America Apartment Communities, Inc.",129.755,39.3197
FAST,Fastenal Company,44.52,39.39823
TDG,TransDigm Group Incorporated,1262.69,39.446735
CVS,CVS Health Corporation,91.39,40.083332
ORCL,Oracle Corporation,223.295,40.160973
GE,GE Aerospace,323.36,40.16894
CSCO,"Cisco Systems, Inc.",120.93,40.31
KR,The Kroger Co.,62.28,40.44156
APTV,Aptiv PLC,67.95,40.446426
FICO,Fair Isaac Corporation,1276.92,40.537144
WMT,Walmart Inc.,115.43,40.644367
JCI,Johnson Controls International plc,135.03,41.285934
IDXX,"IDEXX Laboratories, Inc.",564.72,41.584682
APH,Amphenol Corporation,146.71,42.03725
AMAT,"Applied Materials, Inc.",449.4,42.35627
CVNA,Carvana Co.,73.425,42.4422
CARR,Carrier Global Corporation,64.095,42.73
JBHT,"J.B. Hunt Transport Services, Inc.",275.47,42.84137
WST,"West Pharmaceutical Services, Inc.",320.935,42.96319
MNST,Monster Beverage Corporation,88.98,42.98551
TYL,"Tyler Technologies, Inc.",311.94,43.026207
CTVA,"Corteva, Inc.",79.68,43.07027
CAT,Caterpillar Inc.,868.75,43.30758
CASY,"Casey's General Stores, Inc.",759.6,43.630096
WY,Weyerhaeuser Company,24.465,43.6875
ROL,"Rollins, Inc.",47.7,43.761467
TPR,"Tapestry, Inc.",144.485,43.916412
ADSK,"Autodesk, Inc.",230.31,44.036327
HOOD,"Robinhood Markets, Inc.",92.655,44.978157
MU,"Micron Technology, Inc.",954.8,45.144207
WDAY,"Workday, Inc.",145.29,45.26168
EW,Edwards Lifesciences Corporation,86.03,46.5027
ODFL,"Old Dominion Freight Line, Inc.",223.745,46.710854
ROK,"Rockwell Automation, Inc.",452.36,46.92531
