Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
IEX,272.0,334.0,288.0,122.0,247.0,163.0,215.0,242.0,IDEX Corporation,Industrials,Specialty Industrial Machinery,15604594688,1733844063.4444444,9,54,88.81856540084388,A (Excellent)
ZBH,25.0,331.0,55.0,243.0,58.0,354.0,81.0,344.0,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,15927766016,1769751945.2222223,9,55,88.60759493670886,A (Excellent)
HST,133.0,146.0,281.0,104.0,85.0,337.0,256.0,236.0,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,15942748160,1771416637.5555556,9,56,88.39662447257383,A (Excellent)
TXT,53.0,204.0,63.0,233.0,82.0,253.0,104.0,383.0,Textron Inc.,Industrials,Aerospace & Defense,15956052992,1772894929.6666667,9,57,88.18565400843882,A (Excellent)
NDSN,306.0,286.0,120.0,55.0,274.0,195.0,238.0,140.0,Nordson Corporation,Industrials,Specialty Industrial Machinery,16009437184,1778826533.1111112,9,58,87.9746835443038,A (Excellent)
CDW,135.0,15.0,196.0,307.0,213.0,257.0,87.0,319.0,CDW Corporation,Technology,Information Technology Services,16026670080,1780741289.8888888,9,59,87.76371308016877,A (Excellent)
LDOS,152.0,21.0,40.0,184.0,89.0,330.0,53.0,237.0,"Leidos Holdings, Inc.",Technology,Information Technology Services,16075382784,1786153765.5555556,9,60,87.55274261603375,A (Excellent)
BEN,30.0,344.0,121.0,150.0,70.0,227.0,248.0,366.0,"Franklin Resources, Inc.",Financial Services,Asset Management,16119144448,1791016222.6666667,9,61,87.34177215189874,A (Excellent)
APTV,113.0,405.0,132.0,250.0,155.0,,376.0,414.0,Aptiv PLC,Consumer Cyclical,Auto Parts,14377499648,1797187686.625,8,62,87.13080168776372,A (Excellent)
KIM,223.0,365.0,104.0,282.0,104.0,257.0,218.0,213.0,Kimco Realty Corporation,Real Estate,REIT - Retail,16239305728,1804367499.3333333,9,63,86.91983122362869,A (Excellent)
NWS,305.0,399.0,308.0,345.0,184.0,350.0,177.0,370.0,News Corporation,Communication Services,Entertainment,16271765504,1807974215.7777777,9,64,86.70886075949366,A (Excellent)
BBY,127.0,16.0,195.0,325.0,189.0,262.0,427.0,338.0,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,16423689216,1824854566.1111112,9,65,86.49789029535864,A (Excellent)
TSCO,145.0,14.0,167.0,232.0,223.0,173.0,436.0,298.0,Tractor Supply Company,Consumer Cyclical,Specialty Retail,16535896064,1837321972.4444444,9,66,86.28691983122363,A (Excellent)
SOLV,41.0,8.0,,331.0,51.0,,32.0,267.0,Solventum Corporation,Healthcare,Medical Instruments & Supplies,12979444736,1854206495.142857,7,67,86.07594936708861,A (Excellent)
