Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
INVH,303.0,380.0,139.0,244.0,145.0,336.0,264.0,241.0,Invitation Homes Inc.,Real Estate,REIT - Residential,17515327488,1946147726.6666667,9,70,85.44303797468355,A (Excellent)
CDW,151.0,15.0,196.0,307.0,213.0,256.0,87.0,319.0,CDW Corporation,Technology,Information Technology Services,17606991872,1956332601.7777777,9,71,85.23206751054853,A (Excellent)
CF,186.0,23.0,95.0,17.0,71.0,116.0,160.0,40.0,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,17648930816,1960992391.5555556,9,72,85.0210970464135,A (Excellent)
GNRC,305.0,414.0,418.0,255.0,376.0,,386.0,395.0,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,15725590528,1965699134.625,8,73,84.81012658227847,A (Excellent)
MAS,,9.0,223.0,100.0,,48.0,14.0,122.0,Masco Corporation,Industrials,Building Products & Equipment,13770392576,1967199013.142857,7,74,84.59915611814345,A (Excellent)
FTV,171.0,391.0,303.0,396.0,226.0,368.0,105.0,330.0,Fortive Corporation,Technology,Scientific & Technical Instruments,17837418496,1981935642.8888888,9,75,84.38818565400844,A (Excellent)
LULU,30.0,12.0,323.0,63.0,67.0,,400.0,65.0,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,15876360192,1984545144.0,8,76,84.17721518987342,A (Excellent)
GIS,203.0,34.0,140.0,300.0,60.0,17.0,70.0,193.0,"General Mills, Inc.",Consumer Defensive,Packaged Foods,17945030656,1993892408.1111112,9,77,83.96624472573839,A (Excellent)
LNT,210.0,276.0,176.0,288.0,133.0,84.0,273.0,248.0,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,18092306432,2010256457.7777777,9,78,83.75527426160338,A (Excellent)
DVA,,24.0,161.0,241.0,,,369.0,254.0,DaVita Inc.,Healthcare,Medical Care Facilities,12142518272,2023753220.1666667,6,79,83.54430379746836,A (Excellent)
BR,120.0,30.0,114.0,164.0,230.0,252.0,91.0,130.0,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,18444027904,2049336559.4444444,9,80,83.33333333333334,A (Excellent)
NVR,258.0,42.0,263.0,34.0,178.0,,421.0,120.0,"NVR, Inc.",Consumer Cyclical,Residential Construction,16467247104,2058406052.5,8,81,83.12236286919831,A (Excellent)
SNA,181.0,145.0,299.0,21.0,153.0,14.0,139.0,98.0,Snap-on Incorporated,Industrials,Tools & Accessories,18908735488,2100970726.4444444,9,82,82.91139240506328,A (Excellent)
IFF,42.0,352.0,420.0,365.0,74.0,200.0,133.0,400.0,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,18920540160,2102282460.6666667,9,83,82.70042194092827,A (Excellent)
PTC,112.0,22.0,123.0,67.0,129.0,,58.0,34.0,PTC Inc.,Technology,Software - Application,16869621760,2108702788.125,8,84,82.48945147679325,A (Excellent)
WY,236.0,410.0,,382.0,196.0,237.0,296.0,418.0,Weyerhaeuser Company,Real Estate,REIT - Specialty,17092315136,2136539663.875,8,85,82.27848101265822,A (Excellent)
DD,237.0,434.0,380.0,253.0,284.0,124.0,389.0,423.0,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,19272671232,2141408195.1111112,9,86,82.0675105485232,A (Excellent)
ESS,364.0,349.0,246.0,246.0,222.0,189.0,343.0,157.0,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,19292786688,2143643200.4444444,9,87,81.85654008438819,A (Excellent)
BRO,62.0,222.0,59.0,142.0,61.0,35.0,210.0,187.0,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,19491194880,2165688428.6666665,9,88,81.64556962025317,A (Excellent)
PKG,231.0,249.0,135.0,61.0,240.0,294.0,417.0,301.0,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,19529086976,2169898767.111111,9,89,81.43459915611815,A (Excellent)
EFX,250.0,310.0,68.0,363.0,253.0,61.0,214.0,277.0,Equifax Inc.,Industrials,Consulting Services,20249724928,2249969636.0,9,90,81.22362869198312,A (Excellent)
VLTO,295.0,87.0,111.0,99.0,263.0,377.0,221.0,72.0,Veralto Corporation,Industrials,Pollution & Treatment Controls,20637706240,2293078640.5555553,9,91,81.0126582278481,A (Excellent)
GPN,31.0,373.0,175.0,418.0,49.0,302.0,129.0,420.0,Global Payments Inc.,Industrials,Specialty Business Services,20663478272,2295942241.0,9,92,80.80168776371308,A (Excellent)
STE,155.0,317.0,169.0,160.0,190.0,291.0,78.0,265.0,STERIS plc,Healthcare,Medical Devices,20729630720,2303292482.7777777,9,93,80.59071729957806,A (Excellent)
EXPD,380.0,121.0,103.0,116.0,307.0,67.0,287.0,220.0,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,20749361152,2305484750.3333335,9,94,80.37974683544304,A (Excellent)
EVRG,152.0,314.0,,401.0,95.0,93.0,234.0,284.0,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,18535553024,2316944324.625,8,95,80.16877637130801,A (Excellent)
CHRW,405.0,224.0,89.0,173.0,358.0,304.0,351.0,318.0,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,21036212224,2337357160.6666665,9,96,79.957805907173,B+ (Very Good)
LH,87.0,296.0,137.0,226.0,141.0,325.0,67.0,368.0,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,21063340032,2340371297.6666665,9,97,79.74683544303798,B+ (Very Good)
TSN,107.0,419.0,304.0,322.0,140.0,292.0,311.0,434.0,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,21194668032,2354963373.4444447,9,98,79.53586497890295,B+ (Very Good)
DGX,129.0,231.0,54.0,318.0,161.0,160.0,55.0,316.0,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,21300207616,2366689893.3333335,9,99,79.32489451476793,B+ (Very Good)
SW,82.0,427.0,29.0,384.0,168.0,261.0,375.0,428.0,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,21303730176,2367081370.0,9,100,79.11392405063292,B+ (Very Good)
